,UnderlyingSymbol,UnderlyingPrice,Exchange,OptionRoot,OptionExt,Type,Expiration,DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,T1OpenInterest
17048,RF,18.27,*,RF181116C00019000,,call,2018-11-16,2018-07-24,19.0,0.66,0.64,0.67,47,1045,1052
17050,RF,18.27,*,RF181116C00020000,,call,2018-11-16,2018-07-24,20.0,0.33,0.34,0.37,307,732,567
17052,RF,18.27,*,RF181116C00021000,,call,2018-11-16,2018-07-24,21.0,0.19,0.18,0.2,10,586,596
17054,RF,18.27,*,RF181116C00022000,,call,2018-11-16,2018-07-24,22.0,0.13,0.09,0.11,0,368,368
17056,RF,18.27,*,RF181116C00023000,,call,2018-11-16,2018-07-24,23.0,0.03,0.04,0.06,0,353,353
17058,RF,18.27,*,RF181116C00024000,,call,2018-11-16,2018-07-24,24.0,0.08,0.0,0.05,0,160,160
17060,RF,18.27,*,RF181116C00025000,,call,2018-11-16,2018-07-24,25.0,0.03,0.0,0.03,0,26,26
17064,RF,18.27,*,RF181116C00027000,,call,2018-11-16,2018-07-24,27.0,0.05,0.0,0.02,0,20,20
17066,RF,18.27,*,RF190118C00003000,,call,2019-01-18,2018-07-24,3.0,11.0,15.2,15.5,0,1,1
17072,RF,18.27,*,RF190118C00008000,,call,2019-01-18,2018-07-24,8.0,8.9,10.2,10.4,0,143,143
17074,RF,18.27,*,RF190118C00010000,,call,2019-01-18,2018-07-24,10.0,8.41,8.25,8.55,0,546,546
17078,RF,18.27,*,RF190118C00012000,,call,2019-01-18,2018-07-24,12.0,6.0,6.25,6.5,0,1205,1205
17082,RF,18.27,*,RF190118C00014000,,call,2019-01-18,2018-07-24,14.0,4.3,4.4,4.5,0,40,40
17084,RF,18.27,*,RF190118C00015000,,call,2019-01-18,2018-07-24,15.0,2.85,3.5,3.6,0,2523,2523
17086,RF,18.27,*,RF190118C00016000,,call,2019-01-18,2018-07-24,16.0,2.33,2.69,2.81,0,56,56
17088,RF,18.27,*,RF190118C00017000,,call,2019-01-18,2018-07-24,17.0,1.66,1.91,2.03,0,2097,2097
17090,RF,18.27,*,RF190118C00018000,,call,2019-01-18,2018-07-24,18.0,1.47,1.28,1.39,300,303,565
17092,RF,18.27,*,RF190118C00019000,,call,2019-01-18,2018-07-24,19.0,0.93,0.85,0.93,10,565,575
17094,RF,18.27,*,RF190118C00020000,,call,2019-01-18,2018-07-24,20.0,0.53,0.5,0.56,305,3387,3260
17096,RF,18.27,*,RF190118C00021000,,call,2019-01-18,2018-07-24,21.0,0.29,0.3,0.39,0,118,118
17098,RF,18.27,*,RF190118C00022000,,call,2019-01-18,2018-07-24,22.0,0.19,0.17,0.19,0,841,841
17100,RF,18.27,*,RF190118C00023000,,call,2019-01-18,2018-07-24,23.0,0.08,0.09,0.12,0,75,75
17102,RF,18.27,*,RF190118C00024000,,call,2019-01-18,2018-07-24,24.0,0.33,0.05,0.08,0,34,34
17104,RF,18.27,*,RF190118C00025000,,call,2019-01-18,2018-07-24,25.0,0.03,0.02,0.05,0,2044,2044
17108,RF,18.27,*,RF190118C00027000,,call,2019-01-18,2018-07-24,27.0,0.05,0.0,0.03,0,135,135
17116,RF,18.27,*,RF190215C00013000,,call,2019-02-15,2018-07-24,13.0,5.25,5.3,5.5,0,10,10
17118,RF,18.27,*,RF190215C00014000,,call,2019-02-15,2018-07-24,14.0,4.3,4.4,4.6,0,31,31
17120,RF,18.27,*,RF190215C00015000,,call,2019-02-15,2018-07-24,15.0,3.65,3.5,3.7,20,4,24
17122,RF,18.27,*,RF190215C00016000,,call,2019-02-15,2018-07-24,16.0,2.37,2.72,2.87,0,10,10
17124,RF,18.27,*,RF190215C00017000,,call,2019-02-15,2018-07-24,17.0,2.09,2.06,2.21,20,62,62
17126,RF,18.27,*,RF190215C00018000,,call,2019-02-15,2018-07-24,18.0,1.44,1.46,1.51,0,63,63
17128,RF,18.27,*,RF190215C00019000,,call,2019-02-15,2018-07-24,19.0,0.96,0.99,1.09,0,52,52
17130,RF,18.27,*,RF190215C00020000,,call,2019-02-15,2018-07-24,20.0,0.62,0.61,0.68,183,34,217
17132,RF,18.27,*,RF190215C00021000,,call,2019-02-15,2018-07-24,21.0,0.44,0.39,0.43,4,0,4
17144,RF,18.27,*,RF190215C00027000,,call,2019-02-15,2018-07-24,27.0,0.02,0.0,0.04,0,0,0
17146,RF,18.27,*,RF200117C00002000,,call,2020-01-17,2018-07-24,2.0,14.7,16.15,16.45,0,0,0
17150,RF,18.27,*,RF200117C00004000,,call,2020-01-17,2018-07-24,4.0,14.9,14.15,14.45,0,1,1
17152,RF,18.27,*,RF200117C00005000,,call,2020-01-17,2018-07-24,5.0,15.0,13.15,13.45,0,1,1
17154,RF,18.27,*,RF200117C00008000,,call,2020-01-17,2018-07-24,8.0,11.05,10.2,10.45,0,22,22
17156,RF,18.27,*,RF200117C00010000,,call,2020-01-17,2018-07-24,10.0,8.95,8.3,8.75,0,237,237
17158,RF,18.27,*,RF200117C00012000,,call,2020-01-17,2018-07-24,12.0,6.75,6.45,6.8,0,468,468
17160,RF,18.27,*,RF200117C00015000,,call,2020-01-17,2018-07-24,15.0,4.3,4.15,4.4,0,1246,1246
17162,RF,18.27,*,RF200117C00017000,,call,2020-01-17,2018-07-24,17.0,2.6,2.94,3.15,0,918,918
17164,RF,18.27,*,RF200117C00020000,,call,2020-01-17,2018-07-24,20.0,1.65,1.57,1.74,0,1577,1577
17166,RF,18.27,*,RF200117C00022000,,call,2020-01-17,2018-07-24,22.0,0.84,0.96,1.13,0,385,385
17168,RF,18.27,*,RF200117C00025000,,call,2020-01-17,2018-07-24,25.0,0.53,0.43,0.58,0,250,250
17170,RF,18.27,*,RF200117C00030000,,call,2020-01-17,2018-07-24,30.0,0.1,0.08,0.19,0,4,4
17180,TXN,113.8,*,TXN180727C00095000,,call,2018-07-27,2018-07-24,95.0,18.89,17.85,19.2,0,3,3
17196,TXN,113.8,*,TXN180727C00101000,,call,2018-07-27,2018-07-24,101.0,12.6,12.5,13.15,4,0,4
17198,TXN,113.8,*,TXN180727C00102000,,call,2018-07-27,2018-07-24,102.0,11.73,10.35,13.15,5,8,5
17204,TXN,113.8,*,TXN180727C00105000,,call,2018-07-27,2018-07-24,105.0,8.9,8.65,9.1,12,4,14
17206,TXN,113.8,*,TXN180727C00106000,,call,2018-07-27,2018-07-24,106.0,7.8,7.65,8.2,7,11,18
17208,TXN,113.8,*,TXN180727C00107000,,call,2018-07-27,2018-07-24,107.0,6.95,6.7,7.15,1,2,3
17210,TXN,113.8,*,TXN180727C00108000,,call,2018-07-27,2018-07-24,108.0,6.15,5.85,6.3,4,15,19
17212,TXN,113.8,*,TXN180727C00109000,,call,2018-07-27,2018-07-24,109.0,5.15,5.05,5.75,5,15,16
17214,TXN,113.8,*,TXN180727C00110000,,call,2018-07-27,2018-07-24,110.0,4.3,4.3,4.55,14,62,76
17216,TXN,113.8,*,TXN180727C00111000,,call,2018-07-27,2018-07-24,111.0,3.65,3.45,3.7,69,210,218
17218,TXN,113.8,*,TXN180727C00112000,,call,2018-07-27,2018-07-24,112.0,2.95,2.8,3.0,153,142,157
17220,TXN,113.8,*,TXN180727C00113000,,call,2018-07-27,2018-07-24,113.0,2.35,2.21,2.34,293,320,474
17222,TXN,113.8,*,TXN180727C00114000,,call,2018-07-27,2018-07-24,114.0,1.79,1.75,1.81,1258,205,869
17224,TXN,113.8,*,TXN180727C00115000,,call,2018-07-27,2018-07-24,115.0,1.32,1.25,1.35,1368,576,1463
17226,TXN,113.8,*,TXN180727C00116000,,call,2018-07-27,2018-07-24,116.0,0.94,0.89,0.97,542,448,597
17228,TXN,113.8,*,TXN180727C00117000,,call,2018-07-27,2018-07-24,117.0,0.67,0.64,0.69,2408,567,2349
17230,TXN,113.8,*,TXN180727C00118000,,call,2018-07-27,2018-07-24,118.0,0.45,0.4,0.47,1064,475,784
17232,TXN,113.8,*,TXN180727C00119000,,call,2018-07-27,2018-07-24,119.0,0.28,0.24,0.32,1227,182,939
17234,TXN,113.8,*,TXN180727C00120000,,call,2018-07-27,2018-07-24,120.0,0.19,0.17,0.19,563,163,512
17236,TXN,113.8,*,TXN180727C00121000,,call,2018-07-27,2018-07-24,121.0,0.13,0.12,0.14,812,66,741
17238,TXN,113.8,*,TXN180727C00122000,,call,2018-07-27,2018-07-24,122.0,0.07,0.05,0.13,95,42,93
17240,TXN,113.8,*,TXN180727C00123000,,call,2018-07-27,2018-07-24,123.0,0.04,0.02,0.07,66,328,378
17242,TXN,113.8,*,TXN180727C00124000,,call,2018-07-27,2018-07-24,124.0,0.05,0.04,0.05,79,54,123
17244,TXN,113.8,*,TXN180727C00125000,,call,2018-07-27,2018-07-24,125.0,0.04,0.0,0.06,79,109,170
17246,TXN,113.8,*,TXN180727C00126000,,call,2018-07-27,2018-07-24,126.0,0.03,0.0,0.05,6,0,6
17250,TXN,113.8,*,TXN180727C00128000,,call,2018-07-27,2018-07-24,128.0,0.24,0.0,0.12,0,17,17
17254,TXN,113.8,*,TXN180727C00130000,,call,2018-07-27,2018-07-24,130.0,0.1,0.0,0.13,0,206,206
17256,TXN,113.8,*,TXN180727C00131000,,call,2018-07-27,2018-07-24,131.0,0.12,0.0,0.13,0,2,2
17264,TXN,113.8,*,TXN180727C00135000,,call,2018-07-27,2018-07-24,135.0,0.21,0.0,0.05,0,246,246
17290,TXN,113.8,*,TXN180803C00101000,,call,2018-08-03,2018-07-24,101.0,9.66,12.0,14.25,0,1,1
17292,TXN,113.8,*,TXN180803C00102000,,call,2018-08-03,2018-07-24,102.0,9.34,10.35,13.05,0,1,1
17298,TXN,113.8,*,TXN180803C00105000,,call,2018-08-03,2018-07-24,105.0,9.53,8.15,10.1,0,5,5
17300,TXN,113.8,*,TXN180803C00106000,,call,2018-08-03,2018-07-24,106.0,8.25,7.05,8.5,0,28,28
17302,TXN,113.8,*,TXN180803C00107000,,call,2018-08-03,2018-07-24,107.0,7.6,6.45,8.75,0,15,15
17304,TXN,113.8,*,TXN180803C00108000,,call,2018-08-03,2018-07-24,108.0,4.75,5.3,6.55,0,7,7
17306,TXN,113.8,*,TXN180803C00109000,,call,2018-08-03,2018-07-24,109.0,6.5,5.1,5.55,20,11,15
17308,TXN,113.8,*,TXN180803C00110000,,call,2018-08-03,2018-07-24,110.0,4.8,4.3,4.65,22,72,73
17310,TXN,113.8,*,TXN180803C00111000,,call,2018-08-03,2018-07-24,111.0,5.2,3.6,3.9,24,52,67
17312,TXN,113.8,*,TXN180803C00112000,,call,2018-08-03,2018-07-24,112.0,3.15,2.94,3.25,13,14,25
17314,TXN,113.8,*,TXN180803C00113000,,call,2018-08-03,2018-07-24,113.0,2.46,2.39,2.62,54,131,180
17316,TXN,113.8,*,TXN180803C00114000,,call,2018-08-03,2018-07-24,114.0,1.94,1.9,2.05,396,102,306
17318,TXN,113.8,*,TXN180803C00115000,,call,2018-08-03,2018-07-24,115.0,1.54,1.44,1.54,184,57,161
17320,TXN,113.8,*,TXN180803C00116000,,call,2018-08-03,2018-07-24,116.0,1.16,1.06,1.24,97,72,136
17322,TXN,113.8,*,TXN180803C00117000,,call,2018-08-03,2018-07-24,117.0,0.85,0.76,0.88,210,54,209
17324,TXN,113.8,*,TXN180803C00118000,,call,2018-08-03,2018-07-24,118.0,0.58,0.53,0.65,28,14,31
17326,TXN,113.8,*,TXN180803C00119000,,call,2018-08-03,2018-07-24,119.0,0.41,0.36,0.47,21,80,88
17328,TXN,113.8,*,TXN180803C00120000,,call,2018-08-03,2018-07-24,120.0,0.32,0.25,0.33,288,35,302
17330,TXN,113.8,*,TXN180803C00121000,,call,2018-08-03,2018-07-24,121.0,0.23,0.16,0.23,0,32,32
17332,TXN,113.8,*,TXN180803C00122000,,call,2018-08-03,2018-07-24,122.0,0.14,0.1,0.18,3,11,14
17334,TXN,113.8,*,TXN180803C00123000,,call,2018-08-03,2018-07-24,123.0,0.26,0.1,0.13,0,2,2
17336,TXN,113.8,*,TXN180803C00124000,,call,2018-08-03,2018-07-24,124.0,0.07,0.04,0.1,3,3,6
17338,TXN,113.8,*,TXN180803C00125000,,call,2018-08-03,2018-07-24,125.0,0.09,0.02,0.08,0,0,0
17340,TXN,113.8,*,TXN180803C00126000,,call,2018-08-03,2018-07-24,126.0,0.25,0.0,0.08,0,288,288
17344,TXN,113.8,*,TXN180803C00128000,,call,2018-08-03,2018-07-24,128.0,0.28,0.0,0.06,0,1,1
17348,TXN,113.8,*,TXN180803C00130000,,call,2018-08-03,2018-07-24,130.0,0.1,0.0,0.05,0,440,440
17350,TXN,113.8,*,TXN180803C00135000,,call,2018-08-03,2018-07-24,135.0,0.1,0.0,0.04,0,480,480
17368,TXN,113.8,*,TXN180810C00100000,,call,2018-08-10,2018-07-24,100.0,14.6,13.55,14.35,0,3,3
17376,TXN,113.8,*,TXN180810C00104000,,call,2018-08-10,2018-07-24,104.0,9.86,9.45,11.65,1,8,8
17378,TXN,113.8,*,TXN180810C00105000,,call,2018-08-10,2018-07-24,105.0,9.7,7.45,10.7,0,25,25
17380,TXN,113.8,*,TXN180810C00106000,,call,2018-08-10,2018-07-24,106.0,8.9,7.85,8.35,0,94,94
17382,TXN,113.8,*,TXN180810C00107000,,call,2018-08-10,2018-07-24,107.0,8.65,6.75,7.85,0,41,41
17384,TXN,113.8,*,TXN180810C00108000,,call,2018-08-10,2018-07-24,108.0,7.2,6.15,6.55,14,88,92
17386,TXN,113.8,*,TXN180810C00109000,,call,2018-08-10,2018-07-24,109.0,5.5,5.35,5.75,4,98,100
17388,TXN,113.8,*,TXN180810C00110000,,call,2018-08-10,2018-07-24,110.0,4.85,4.6,4.85,73,129,134
17390,TXN,113.8,*,TXN180810C00111000,,call,2018-08-10,2018-07-24,111.0,5.15,3.9,4.15,19,70,69
17392,TXN,113.8,*,TXN180810C00112000,,call,2018-08-10,2018-07-24,112.0,3.35,3.25,3.5,8,126,126
17394,TXN,113.8,*,TXN180810C00113000,,call,2018-08-10,2018-07-24,113.0,2.73,2.69,2.94,48,55,78
17396,TXN,113.8,*,TXN180810C00114000,,call,2018-08-10,2018-07-24,114.0,2.34,2.17,2.38,29,23,35
17398,TXN,113.8,*,TXN180810C00115000,,call,2018-08-10,2018-07-24,115.0,1.83,1.72,1.9,43,69,71
17400,TXN,113.8,*,TXN180810C00116000,,call,2018-08-10,2018-07-24,116.0,1.45,1.34,1.51,26,46,60
17402,TXN,113.8,*,TXN180810C00117000,,call,2018-08-10,2018-07-24,117.0,1.14,1.03,1.18,33,69,88
17404,TXN,113.8,*,TXN180810C00118000,,call,2018-08-10,2018-07-24,118.0,0.8,0.79,0.89,42,73,91
17406,TXN,113.8,*,TXN180810C00119000,,call,2018-08-10,2018-07-24,119.0,0.61,0.58,0.71,11,3,10
17408,TXN,113.8,*,TXN180810C00120000,,call,2018-08-10,2018-07-24,120.0,0.5,0.42,0.51,31,0,26
17410,TXN,113.8,*,TXN180810C00121000,,call,2018-08-10,2018-07-24,121.0,0.34,0.31,0.4,6,0,6
17412,TXN,113.8,*,TXN180810C00122000,,call,2018-08-10,2018-07-24,122.0,0.33,0.22,0.28,1,7,8
17414,TXN,113.8,*,TXN180810C00123000,,call,2018-08-10,2018-07-24,123.0,0.2,0.15,0.21,0,8,8
17416,TXN,113.8,*,TXN180810C00124000,,call,2018-08-10,2018-07-24,124.0,0.57,0.09,0.16,0,4,4
17418,TXN,113.8,*,TXN180810C00125000,,call,2018-08-10,2018-07-24,125.0,0.14,0.06,0.13,1,1,2
17422,TXN,113.8,*,TXN180810C00127000,,call,2018-08-10,2018-07-24,127.0,0.07,0.01,0.12,70,0,70
17424,TXN,113.8,*,TXN180810C00128000,,call,2018-08-10,2018-07-24,128.0,0.04,0.0,0.11,70,0,70
17428,TXN,113.8,*,TXN180810C00130000,,call,2018-08-10,2018-07-24,130.0,0.11,0.0,0.07,0,318,318
17430,TXN,113.8,*,TXN180810C00135000,,call,2018-08-10,2018-07-24,135.0,0.03,0.0,0.04,0,313,313
17438,TXN,113.8,*,TXN180817C00090000,,call,2018-08-17,2018-07-24,90.0,22.1,22.25,25.35,0,0,0
17440,TXN,113.8,*,TXN180817C00095000,,call,2018-08-17,2018-07-24,95.0,17.04,18.3,20.45,0,24,24
17442,TXN,113.8,*,TXN180817C00100000,,call,2018-08-17,2018-07-24,100.0,14.1,13.55,14.35,0,85,85
17446,TXN,113.8,*,TXN180817C00102000,,call,2018-08-17,2018-07-24,102.0,11.4,11.05,13.65,0,6,6
17448,TXN,113.8,*,TXN180817C00103000,,call,2018-08-17,2018-07-24,103.0,10.55,10.3,12.5,0,9,9
17452,TXN,113.8,*,TXN180817C00105000,,call,2018-08-17,2018-07-24,105.0,9.13,8.8,9.3,7,623,620
17454,TXN,113.8,*,TXN180817C00106000,,call,2018-08-17,2018-07-24,106.0,8.45,7.9,8.4,10,0,10
17456,TXN,113.8,*,TXN180817C00107000,,call,2018-08-17,2018-07-24,107.0,7.6,7.05,7.6,17,0,9
17458,TXN,113.8,*,TXN180817C00108000,,call,2018-08-17,2018-07-24,108.0,7.4,6.25,6.6,45,31,46
17460,TXN,113.8,*,TXN180817C00109000,,call,2018-08-17,2018-07-24,109.0,5.77,5.45,5.8,11,32,43
17462,TXN,113.8,*,TXN180817C00110000,,call,2018-08-17,2018-07-24,110.0,4.85,4.75,5.05,99,1132,1131
17464,TXN,113.8,*,TXN180817C00111000,,call,2018-08-17,2018-07-24,111.0,5.3,4.05,4.35,34,28,57
17466,TXN,113.8,*,TXN180817C00112000,,call,2018-08-17,2018-07-24,112.0,3.53,3.45,3.7,43,10,52
17468,TXN,113.8,*,TXN180817C00113000,,call,2018-08-17,2018-07-24,113.0,2.96,2.86,3.1,115,31,120
17470,TXN,113.8,*,TXN180817C00114000,,call,2018-08-17,2018-07-24,114.0,2.51,2.36,2.54,82,21,80
17472,TXN,113.8,*,TXN180817C00115000,,call,2018-08-17,2018-07-24,115.0,1.95,1.97,2.06,445,2723,2826
17474,TXN,113.8,*,TXN180817C00116000,,call,2018-08-17,2018-07-24,116.0,1.6,1.51,1.66,446,39,392
17476,TXN,113.8,*,TXN180817C00117000,,call,2018-08-17,2018-07-24,117.0,1.28,1.19,1.31,525,5,467
17478,TXN,113.8,*,TXN180817C00118000,,call,2018-08-17,2018-07-24,118.0,0.99,0.91,1.03,553,13,424
17480,TXN,113.8,*,TXN180817C00119000,,call,2018-08-17,2018-07-24,119.0,0.74,0.69,0.8,395,10,317
17482,TXN,113.8,*,TXN180817C00120000,,call,2018-08-17,2018-07-24,120.0,0.57,0.56,0.6,177,3262,3305
17484,TXN,113.8,*,TXN180817C00121000,,call,2018-08-17,2018-07-24,121.0,0.4,0.38,0.47,644,1,601
17486,TXN,113.8,*,TXN180817C00122000,,call,2018-08-17,2018-07-24,122.0,0.32,0.28,0.36,11,8,18
17488,TXN,113.8,*,TXN180817C00123000,,call,2018-08-17,2018-07-24,123.0,0.23,0.2,0.27,5,9,12
17490,TXN,113.8,*,TXN180817C00124000,,call,2018-08-17,2018-07-24,124.0,0.16,0.15,0.21,12,7,19
17492,TXN,113.8,*,TXN180817C00125000,,call,2018-08-17,2018-07-24,125.0,0.12,0.1,0.16,143,961,889
17494,TXN,113.8,*,TXN180817C00126000,,call,2018-08-17,2018-07-24,126.0,0.1,0.07,0.13,41,1,21
17500,TXN,113.8,*,TXN180817C00130000,,call,2018-08-17,2018-07-24,130.0,0.14,0.02,0.07,0,1882,1882
17502,TXN,113.8,*,TXN180817C00135000,,call,2018-08-17,2018-07-24,135.0,0.04,0.0,0.03,0,1382,1382
17528,TXN,113.8,*,TXN180824C00101000,,call,2018-08-24,2018-07-24,101.0,11.9,11.4,14.6,0,5,5
17530,TXN,113.8,*,TXN180824C00102000,,call,2018-08-24,2018-07-24,102.0,12.65,10.4,13.75,0,14,14
17534,TXN,113.8,*,TXN180824C00104000,,call,2018-08-24,2018-07-24,104.0,9.8,8.5,11.9,0,8,8
17542,TXN,113.8,*,TXN180824C00108000,,call,2018-08-24,2018-07-24,108.0,7.47,6.15,6.95,0,15,15
17544,TXN,113.8,*,TXN180824C00109000,,call,2018-08-24,2018-07-24,109.0,5.85,5.65,6.2,0,34,34
17546,TXN,113.8,*,TXN180824C00110000,,call,2018-08-24,2018-07-24,110.0,5.2,5.05,5.5,0,2,2
17548,TXN,113.8,*,TXN180824C00111000,,call,2018-08-24,2018-07-24,111.0,5.8,4.35,4.8,0,4,4
17550,TXN,113.8,*,TXN180824C00112000,,call,2018-08-24,2018-07-24,112.0,5.15,3.7,4.1,0,81,81
17552,TXN,113.8,*,TXN180824C00113000,,call,2018-08-24,2018-07-24,113.0,3.3,3.2,3.55,35,138,139
17554,TXN,113.8,*,TXN180824C00114000,,call,2018-08-24,2018-07-24,114.0,2.8,2.7,2.99,1,33,34
17556,TXN,113.8,*,TXN180824C00115000,,call,2018-08-24,2018-07-24,115.0,2.32,2.26,2.53,401,59,460
17558,TXN,113.8,*,TXN180824C00116000,,call,2018-08-24,2018-07-24,116.0,2.97,1.82,2.1,5,20,25
17560,TXN,113.8,*,TXN180824C00117000,,call,2018-08-24,2018-07-24,117.0,1.58,1.51,1.74,3,6,9
17562,TXN,113.8,*,TXN180824C00118000,,call,2018-08-24,2018-07-24,118.0,1.41,1.21,1.41,29,21,37
17564,TXN,113.8,*,TXN180824C00119000,,call,2018-08-24,2018-07-24,119.0,1.04,0.96,1.18,29,5,32
17566,TXN,113.8,*,TXN180824C00120000,,call,2018-08-24,2018-07-24,120.0,0.88,0.71,1.04,434,4,429
17568,TXN,113.8,*,TXN180824C00121000,,call,2018-08-24,2018-07-24,121.0,1.49,0.5,0.77,0,3,3
17570,TXN,113.8,*,TXN180824C00122000,,call,2018-08-24,2018-07-24,122.0,0.47,0.43,0.63,1,5,6
17574,TXN,113.8,*,TXN180824C00124000,,call,2018-08-24,2018-07-24,124.0,0.58,0.19,0.41,0,1,1
17576,TXN,113.8,*,TXN180824C00125000,,call,2018-08-24,2018-07-24,125.0,0.42,0.12,0.32,0,6,6
17586,TXN,113.8,*,TXN180824C00130000,,call,2018-08-24,2018-07-24,130.0,0.27,0.0,0.12,0,3,3
17620,TXN,113.8,*,TXN180831C00110000,,call,2018-08-31,2018-07-24,110.0,5.3,5.25,5.7,0,2,2
17622,TXN,113.8,*,TXN180831C00111000,,call,2018-08-31,2018-07-24,111.0,5.7,4.7,4.95,19,1,19
17624,TXN,113.8,*,TXN180831C00112000,,call,2018-08-31,2018-07-24,112.0,4.85,4.05,4.4,0,7,7
17626,TXN,113.8,*,TXN180831C00113000,,call,2018-08-31,2018-07-24,113.0,5.38,3.5,3.8,0,40,40
17628,TXN,113.8,*,TXN180831C00114000,,call,2018-08-31,2018-07-24,114.0,3.1,2.99,3.2,8,1,8
17630,TXN,113.8,*,TXN180831C00115000,,call,2018-08-31,2018-07-24,115.0,2.6,2.53,2.76,49,0,31
17632,TXN,113.8,*,TXN180831C00116000,,call,2018-08-31,2018-07-24,116.0,2.31,2.12,2.33,20,67,71
17634,TXN,113.8,*,TXN180831C00117000,,call,2018-08-31,2018-07-24,117.0,2.15,1.74,2.02,3,28,28
17636,TXN,113.8,*,TXN180831C00118000,,call,2018-08-31,2018-07-24,118.0,2.2,1.43,1.64,10,0,10
17638,TXN,113.8,*,TXN180831C00119000,,call,2018-08-31,2018-07-24,119.0,1.21,1.16,1.32,2,0,2
17640,TXN,113.8,*,TXN180831C00120000,,call,2018-08-31,2018-07-24,120.0,0.95,0.92,1.16,1,10,11
17642,TXN,113.8,*,TXN180831C00121000,,call,2018-08-31,2018-07-24,121.0,1.23,0.74,0.85,10,0,10
17644,TXN,113.8,*,TXN180831C00122000,,call,2018-08-31,2018-07-24,122.0,0.77,0.57,0.73,1,2,1
17646,TXN,113.8,*,TXN180831C00123000,,call,2018-08-31,2018-07-24,123.0,0.73,0.45,0.56,5,0,5
17656,TXN,113.8,*,TXN180831C00128000,,call,2018-08-31,2018-07-24,128.0,0.23,0.12,0.21,1,0,1
17662,TXN,113.8,*,TXN180831C00135000,,call,2018-08-31,2018-07-24,135.0,0.03,0.0,0.1,1,0,1
17664,TXN,113.8,*,TXN180921C00070000,,call,2018-09-21,2018-07-24,70.0,44.43,42.1,45.5,0,10,10
17670,TXN,113.8,*,TXN180921C00085000,,call,2018-09-21,2018-07-24,85.0,27.15,27.1,29.75,0,3,3
17672,TXN,113.8,*,TXN180921C00090000,,call,2018-09-21,2018-07-24,90.0,25.0,23.0,24.85,0,1,1
17674,TXN,113.8,*,TXN180921C00095000,,call,2018-09-21,2018-07-24,95.0,15.32,18.1,19.9,0,146,146
17676,TXN,113.8,*,TXN180921C00097500,,call,2018-09-21,2018-07-24,97.5,14.35,15.55,17.55,0,1,1
17678,TXN,113.8,*,TXN180921C00100000,,call,2018-09-21,2018-07-24,100.0,12.35,12.6,15.05,0,149,149
17680,TXN,113.8,*,TXN180921C00105000,,call,2018-09-21,2018-07-24,105.0,9.93,9.75,10.15,52,586,594
17682,TXN,113.8,*,TXN180921C00110000,,call,2018-09-21,2018-07-24,110.0,6.24,6.05,6.3,63,626,654
17684,TXN,113.8,*,TXN180921C00115000,,call,2018-09-21,2018-07-24,115.0,3.4,3.25,3.45,147,2392,2447
17686,TXN,113.8,*,TXN180921C00120000,,call,2018-09-21,2018-07-24,120.0,1.53,1.48,1.56,1138,11496,12123
17688,TXN,113.8,*,TXN180921C00125000,,call,2018-09-21,2018-07-24,125.0,0.6,0.56,0.63,808,836,1614
17690,TXN,113.8,*,TXN180921C00130000,,call,2018-09-21,2018-07-24,130.0,0.24,0.2,0.28,5,136,136
17692,TXN,113.8,*,TXN180921C00135000,,call,2018-09-21,2018-07-24,135.0,0.09,0.07,0.14,5,2,7
17708,TXN,113.8,*,TXN181019C00070000,,call,2018-10-19,2018-07-24,70.0,39.45,41.85,45.95,0,5,5
17710,TXN,113.8,*,TXN181019C00075000,,call,2018-10-19,2018-07-24,75.0,25.4,37.2,40.4,0,8,8
17712,TXN,113.8,*,TXN181019C00080000,,call,2018-10-19,2018-07-24,80.0,33.7,32.15,35.55,0,2,2
17716,TXN,113.8,*,TXN181019C00090000,,call,2018-10-19,2018-07-24,90.0,25.9,22.5,25.7,2,179,179
17718,TXN,113.8,*,TXN181019C00092500,,call,2018-10-19,2018-07-24,92.5,19.02,20.1,23.3,0,34,34
17720,TXN,113.8,*,TXN181019C00095000,,call,2018-10-19,2018-07-24,95.0,20.75,17.75,21.0,0,155,155
17722,TXN,113.8,*,TXN181019C00097500,,call,2018-10-19,2018-07-24,97.5,17.01,15.45,18.7,0,114,114
17724,TXN,113.8,*,TXN181019C00100000,,call,2018-10-19,2018-07-24,100.0,14.81,13.55,15.0,10,268,268
17726,TXN,113.8,*,TXN181019C00105000,,call,2018-10-19,2018-07-24,105.0,11.13,10.45,11.1,0,685,685
17728,TXN,113.8,*,TXN181019C00110000,,call,2018-10-19,2018-07-24,110.0,8.25,6.95,7.25,82,859,904
17730,TXN,113.8,*,TXN181019C00115000,,call,2018-10-19,2018-07-24,115.0,4.25,4.15,4.55,83,1148,1204
17732,TXN,113.8,*,TXN181019C00120000,,call,2018-10-19,2018-07-24,120.0,2.3,2.2,2.55,279,1173,1395
17734,TXN,113.8,*,TXN181019C00125000,,call,2018-10-19,2018-07-24,125.0,1.14,1.02,1.48,183,4166,4279
17736,TXN,113.8,*,TXN181019C00130000,,call,2018-10-19,2018-07-24,130.0,0.49,0.41,0.56,23,595,611
17738,TXN,113.8,*,TXN181019C00135000,,call,2018-10-19,2018-07-24,135.0,0.26,0.14,0.34,182,250,164
17740,TXN,113.8,*,TXN181019C00140000,,call,2018-10-19,2018-07-24,140.0,0.24,0.0,0.22,0,51,51
